"BroodYear","Inlet_Name","Escapement","CU_Name","Inlet_ID"
1953,"Kyuquot",5750,"WCVI Nootka & Kyuquot",1
1954,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1
1955,"Kyuquot",5000,"WCVI Nootka & Kyuquot",1
1956,"Kyuquot",4300,"WCVI Nootka & Kyuquot",1
1957,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1
1958,"Kyuquot",5200,"WCVI Nootka & Kyuquot",1
1959,"Kyuquot",475,"WCVI Nootka & Kyuquot",1
1960,"Kyuquot",1575,"WCVI Nootka & Kyuquot",1
1961,"Kyuquot",1000,"WCVI Nootka & Kyuquot",1
1962,"Kyuquot",1350,"WCVI Nootka & Kyuquot",1
1963,"Kyuquot",4650,"WCVI Nootka & Kyuquot",1
1964,"Kyuquot",3025,"WCVI Nootka & Kyuquot",1
1965,"Kyuquot",825,"WCVI Nootka & Kyuquot",1
1966,"Kyuquot",8500,"WCVI Nootka & Kyuquot",1
1967,"Kyuquot",1175,"WCVI Nootka & Kyuquot",1
1968,"Kyuquot",2275,"WCVI Nootka & Kyuquot",1
1969,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1
1970,"Kyuquot",2450,"WCVI Nootka & Kyuquot",1
1971,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1
1972,"Kyuquot",1450,"WCVI Nootka & Kyuquot",1
1973,"Kyuquot",3750,"WCVI Nootka & Kyuquot",1
1974,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1
1975,"Kyuquot",125,"WCVI Nootka & Kyuquot",1
1976,"Kyuquot",75,"WCVI Nootka & Kyuquot",1
1977,"Kyuquot",235,"WCVI Nootka & Kyuquot",1
1978,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1979,"Kyuquot",300,"WCVI Nootka & Kyuquot",1
1980,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1981,"Kyuquot",1600,"WCVI Nootka & Kyuquot",1
1982,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1983,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1984,"Kyuquot",2550,"WCVI Nootka & Kyuquot",1
1985,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1
1986,"Kyuquot",1200,"WCVI Nootka & Kyuquot",1
1987,"Kyuquot",700,"WCVI Nootka & Kyuquot",1
1988,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1989,"Kyuquot",520,"WCVI Nootka & Kyuquot",1
1990,"Kyuquot",260,"WCVI Nootka & Kyuquot",1
1991,"Kyuquot",160,"WCVI Nootka & Kyuquot",1
1992,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1
1993,"Kyuquot",280,"WCVI Nootka & Kyuquot",1
1994,"Kyuquot",500,"WCVI Nootka & Kyuquot",1
1995,"Kyuquot",956,"WCVI Nootka & Kyuquot",1
1996,"Kyuquot",560,"WCVI Nootka & Kyuquot",1
1997,"Kyuquot",1483,"WCVI Nootka & Kyuquot",1
1998,"Kyuquot",2554,"WCVI Nootka & Kyuquot",1
1999,"Kyuquot",1871,"WCVI Nootka & Kyuquot",1
2000,"Kyuquot",571,"WCVI Nootka & Kyuquot",1
2001,"Kyuquot",785,"WCVI Nootka & Kyuquot",1
2002,"Kyuquot",600,"WCVI Nootka & Kyuquot",1
2003,"Kyuquot",1177,"WCVI Nootka & Kyuquot",1
2004,"Kyuquot",1250,"WCVI Nootka & Kyuquot",1
2005,"Kyuquot",808,"WCVI Nootka & Kyuquot",1
2006,"Kyuquot",840,"WCVI Nootka & Kyuquot",1
2007,"Kyuquot",589,"WCVI Nootka & Kyuquot",1
2008,"Kyuquot",844,"WCVI Nootka & Kyuquot",1
2009,"Kyuquot",844,"WCVI Nootka & Kyuquot",1
2010,"Kyuquot",650,"WCVI Nootka & Kyuquot",1
2011,"Kyuquot",660,"WCVI Nootka & Kyuquot",1
2012,"Kyuquot",502,"WCVI Nootka & Kyuquot",1
2013,"Kyuquot",989,"WCVI Nootka & Kyuquot",1
2014,"Kyuquot",936,"WCVI Nootka & Kyuquot",1
2015,"Kyuquot",2212,"WCVI Nootka & Kyuquot",1
2016,"Kyuquot",1145,"WCVI Nootka & Kyuquot",1
1953,"Clayoquot",NA,"WCVI South",2
1954,"Clayoquot",NA,"WCVI South",2
1955,"Clayoquot",NA,"WCVI South",2
1956,"Clayoquot",NA,"WCVI South",2
1957,"Clayoquot",NA,"WCVI South",2
1958,"Clayoquot",NA,"WCVI South",2
1959,"Clayoquot",NA,"WCVI South",2
1960,"Clayoquot",NA,"WCVI South",2
1961,"Clayoquot",NA,"WCVI South",2
1962,"Clayoquot",NA,"WCVI South",2
1963,"Clayoquot",NA,"WCVI South",2
1964,"Clayoquot",NA,"WCVI South",2
1965,"Clayoquot",NA,"WCVI South",2
1966,"Clayoquot",NA,"WCVI South",2
1967,"Clayoquot",NA,"WCVI South",2
1968,"Clayoquot",NA,"WCVI South",2
1969,"Clayoquot",NA,"WCVI South",2
1970,"Clayoquot",NA,"WCVI South",2
1971,"Clayoquot",NA,"WCVI South",2
1972,"Clayoquot",NA,"WCVI South",2
1973,"Clayoquot",NA,"WCVI South",2
1974,"Clayoquot",NA,"WCVI South",2
1975,"Clayoquot",NA,"WCVI South",2
1976,"Clayoquot",NA,"WCVI South",2
1977,"Clayoquot",NA,"WCVI South",2
1978,"Clayoquot",NA,"WCVI South",2
1979,"Clayoquot",NA,"WCVI South",2
1980,"Clayoquot",NA,"WCVI South",2
1981,"Clayoquot",NA,"WCVI South",2
1982,"Clayoquot",NA,"WCVI South",2
1983,"Clayoquot",NA,"WCVI South",2
1984,"Clayoquot",NA,"WCVI South",2
1985,"Clayoquot",NA,"WCVI South",2
1986,"Clayoquot",NA,"WCVI South",2
1987,"Clayoquot",NA,"WCVI South",2
1988,"Clayoquot",NA,"WCVI South",2
1989,"Clayoquot",NA,"WCVI South",2
1990,"Clayoquot",NA,"WCVI South",2
1991,"Clayoquot",NA,"WCVI South",2
1992,"Clayoquot",NA,"WCVI South",2
1993,"Clayoquot",NA,"WCVI South",2
1994,"Clayoquot",NA,"WCVI South",2
1995,"Clayoquot",703,"WCVI South",2
1996,"Clayoquot",935,"WCVI South",2
1997,"Clayoquot",625,"WCVI South",2
1998,"Clayoquot",831,"WCVI South",2
1999,"Clayoquot",633,"WCVI South",2
2000,"Clayoquot",397,"WCVI South",2
2001,"Clayoquot",NA,"WCVI South",2
2002,"Clayoquot",205,"WCVI South",2
2003,"Clayoquot",320,"WCVI South",2
2004,"Clayoquot",575,"WCVI South",2
2005,"Clayoquot",216,"WCVI South",2
2006,"Clayoquot",306,"WCVI South",2
2007,"Clayoquot",166,"WCVI South",2
2008,"Clayoquot",242,"WCVI South",2
2009,"Clayoquot",119,"WCVI South",2
2010,"Clayoquot",244,"WCVI South",2
2011,"Clayoquot",200,"WCVI South",2
2012,"Clayoquot",NA,"WCVI South",2
2013,"Clayoquot",662,"WCVI South",2
2014,"Clayoquot",370,"WCVI South",2
2015,"Clayoquot",NA,"WCVI South",2
2016,"Clayoquot",806,"WCVI South",2
1953,"Quatsino",NA,"WCVI North",3
1954,"Quatsino",NA,"WCVI North",3
1955,"Quatsino",NA,"WCVI North",3
1956,"Quatsino",NA,"WCVI North",3
1957,"Quatsino",NA,"WCVI North",3
1958,"Quatsino",NA,"WCVI North",3
1959,"Quatsino",NA,"WCVI North",3
1960,"Quatsino",NA,"WCVI North",3
1961,"Quatsino",NA,"WCVI North",3
1962,"Quatsino",NA,"WCVI North",3
1963,"Quatsino",NA,"WCVI North",3
1964,"Quatsino",NA,"WCVI North",3
1965,"Quatsino",NA,"WCVI North",3
1966,"Quatsino",NA,"WCVI North",3
1967,"Quatsino",NA,"WCVI North",3
1968,"Quatsino",NA,"WCVI North",3
1969,"Quatsino",NA,"WCVI North",3
1970,"Quatsino",NA,"WCVI North",3
1971,"Quatsino",NA,"WCVI North",3
1972,"Quatsino",NA,"WCVI North",3
1973,"Quatsino",NA,"WCVI North",3
1974,"Quatsino",NA,"WCVI North",3
1975,"Quatsino",NA,"WCVI North",3
1976,"Quatsino",NA,"WCVI North",3
1977,"Quatsino",NA,"WCVI North",3
1978,"Quatsino",NA,"WCVI North",3
1979,"Quatsino",NA,"WCVI North",3
1980,"Quatsino",NA,"WCVI North",3
1981,"Quatsino",NA,"WCVI North",3
1982,"Quatsino",NA,"WCVI North",3
1983,"Quatsino",NA,"WCVI North",3
1984,"Quatsino",NA,"WCVI North",3
1985,"Quatsino",NA,"WCVI North",3
1986,"Quatsino",NA,"WCVI North",3
1987,"Quatsino",NA,"WCVI North",3
1988,"Quatsino",NA,"WCVI North",3
1989,"Quatsino",NA,"WCVI North",3
1990,"Quatsino",NA,"WCVI North",3
1991,"Quatsino",NA,"WCVI North",3
1992,"Quatsino",NA,"WCVI North",3
1993,"Quatsino",NA,"WCVI North",3
1994,"Quatsino",NA,"WCVI North",3
1995,"Quatsino",1461,"WCVI North",3
1996,"Quatsino",3725,"WCVI North",3
1997,"Quatsino",2460,"WCVI North",3
1998,"Quatsino",4992,"WCVI North",3
1999,"Quatsino",4868,"WCVI North",3
2000,"Quatsino",2812,"WCVI North",3
2001,"Quatsino",2021,"WCVI North",3
2002,"Quatsino",2341,"WCVI North",3
2003,"Quatsino",2154,"WCVI North",3
2004,"Quatsino",5027,"WCVI North",3
2005,"Quatsino",NA,"WCVI North",3
2006,"Quatsino",3392,"WCVI North",3
2007,"Quatsino",2932,"WCVI North",3
2008,"Quatsino",2453,"WCVI North",3
2009,"Quatsino",4070,"WCVI North",3
2010,"Quatsino",4080,"WCVI North",3
2011,"Quatsino",4314,"WCVI North",3
2012,"Quatsino",2457,"WCVI North",3
2013,"Quatsino",2179,"WCVI North",3
2014,"Quatsino",1533,"WCVI North",3
2015,"Quatsino",7102,"WCVI North",3
2016,"Quatsino",2004,"WCVI North",3
1953,"Barkley",3500,"WCVI South",4
1954,"Barkley",3500,"WCVI South",4
1955,"Barkley",3500,"WCVI South",4
1956,"Barkley",750,"WCVI South",4
1957,"Barkley",400,"WCVI South",4
1958,"Barkley",400,"WCVI South",4
1959,"Barkley",1500,"WCVI South",4
1960,"Barkley",750,"WCVI South",4
1961,"Barkley",1500,"WCVI South",4
1962,"Barkley",400,"WCVI South",4
1963,"Barkley",1500,"WCVI South",4
1964,"Barkley",400,"WCVI South",4
1965,"Barkley",400,"WCVI South",4
1966,"Barkley",750,"WCVI South",4
1967,"Barkley",400,"WCVI South",4
1968,"Barkley",400,"WCVI South",4
1969,"Barkley",750,"WCVI South",4
1970,"Barkley",750,"WCVI South",4
1971,"Barkley",1200,"WCVI South",4
1972,"Barkley",900,"WCVI South",4
1973,"Barkley",750,"WCVI South",4
1974,"Barkley",600,"WCVI South",4
1975,"Barkley",750,"WCVI South",4
1976,"Barkley",550,"WCVI South",4
1977,"Barkley",450,"WCVI South",4
1978,"Barkley",300,"WCVI South",4
1979,"Barkley",200,"WCVI South",4
1980,"Barkley",175,"WCVI South",4
1981,"Barkley",250,"WCVI South",4
1982,"Barkley",425,"WCVI South",4
1983,"Barkley",100,"WCVI South",4
1984,"Barkley",35,"WCVI South",4
1985,"Barkley",250,"WCVI South",4
1986,"Barkley",300,"WCVI South",4
1987,"Barkley",NA,"WCVI South",4
1988,"Barkley",50,"WCVI South",4
1989,"Barkley",300,"WCVI South",4
1990,"Barkley",230,"WCVI South",4
1991,"Barkley",171,"WCVI South",4
1992,"Barkley",150,"WCVI South",4
1993,"Barkley",83,"WCVI South",4
1994,"Barkley",450,"WCVI South",4
1995,"Barkley",212,"WCVI South",4
1996,"Barkley",232,"WCVI South",4
1997,"Barkley",236,"WCVI South",4
1998,"Barkley",739,"WCVI South",4
1999,"Barkley",740,"WCVI South",4
2000,"Barkley",68,"WCVI South",4
2001,"Barkley",213,"WCVI South",4
2002,"Barkley",319,"WCVI South",4
2003,"Barkley",630,"WCVI South",4
2004,"Barkley",1192,"WCVI South",4
2005,"Barkley",159,"WCVI South",4
2006,"Barkley",351,"WCVI South",4
2007,"Barkley",166,"WCVI South",4
2008,"Barkley",140,"WCVI South",4
2009,"Barkley",100,"WCVI South",4
2010,"Barkley",400,"WCVI South",4
2011,"Barkley",640,"WCVI South",4
2012,"Barkley",178,"WCVI South",4
2013,"Barkley",192,"WCVI South",4
2014,"Barkley",73,"WCVI South",4
2015,"Barkley",396,"WCVI South",4
2016,"Barkley",847,"WCVI South",4
1953,"Nootka/Esperanza",1500,"WCVI Nootka & Kyuquot",5
1954,"Nootka/Esperanza",100,"WCVI Nootka & Kyuquot",5
1955,"Nootka/Esperanza",75,"WCVI Nootka & Kyuquot",5
1956,"Nootka/Esperanza",25,"WCVI Nootka & Kyuquot",5
1957,"Nootka/Esperanza",200,"WCVI Nootka & Kyuquot",5
1958,"Nootka/Esperanza",200,"WCVI Nootka & Kyuquot",5
1959,"Nootka/Esperanza",25,"WCVI Nootka & Kyuquot",5
1960,"Nootka/Esperanza",400,"WCVI Nootka & Kyuquot",5
1961,"Nootka/Esperanza",400,"WCVI Nootka & Kyuquot",5
1962,"Nootka/Esperanza",750,"WCVI Nootka & Kyuquot",5
1963,"Nootka/Esperanza",600,"WCVI Nootka & Kyuquot",5
1964,"Nootka/Esperanza",1500,"WCVI Nootka & Kyuquot",5
1965,"Nootka/Esperanza",750,"WCVI Nootka & Kyuquot",5
1966,"Nootka/Esperanza",800,"WCVI Nootka & Kyuquot",5
1967,"Nootka/Esperanza",200,"WCVI Nootka & Kyuquot",5
1968,"Nootka/Esperanza",75,"WCVI Nootka & Kyuquot",5
1969,"Nootka/Esperanza",25,"WCVI Nootka & Kyuquot",5
1970,"Nootka/Esperanza",125,"WCVI Nootka & Kyuquot",5
1971,"Nootka/Esperanza",200,"WCVI Nootka & Kyuquot",5
1972,"Nootka/Esperanza",75,"WCVI Nootka & Kyuquot",5
1973,"Nootka/Esperanza",750,"WCVI Nootka & Kyuquot",5
1974,"Nootka/Esperanza",750,"WCVI Nootka & Kyuquot",5
1975,"Nootka/Esperanza",75,"WCVI Nootka & Kyuquot",5
1976,"Nootka/Esperanza",200,"WCVI Nootka & Kyuquot",5
1977,"Nootka/Esperanza",150,"WCVI Nootka & Kyuquot",5
1978,"Nootka/Esperanza",100,"WCVI Nootka & Kyuquot",5
1979,"Nootka/Esperanza",348,"WCVI Nootka & Kyuquot",5
1980,"Nootka/Esperanza",NA,"WCVI Nootka & Kyuquot",5
1981,"Nootka/Esperanza",150,"WCVI Nootka & Kyuquot",5
1982,"Nootka/Esperanza",125,"WCVI Nootka & Kyuquot",5
1983,"Nootka/Esperanza",50,"WCVI Nootka & Kyuquot",5
1984,"Nootka/Esperanza",12,"WCVI Nootka & Kyuquot",5
1985,"Nootka/Esperanza",50,"WCVI Nootka & Kyuquot",5
1986,"Nootka/Esperanza",60,"WCVI Nootka & Kyuquot",5
1987,"Nootka/Esperanza",20,"WCVI Nootka & Kyuquot",5
1988,"Nootka/Esperanza",125,"WCVI Nootka & Kyuquot",5
1989,"Nootka/Esperanza",500,"WCVI Nootka & Kyuquot",5
1990,"Nootka/Esperanza",232,"WCVI Nootka & Kyuquot",5
1991,"Nootka/Esperanza",1400,"WCVI Nootka & Kyuquot",5
1992,"Nootka/Esperanza",1400,"WCVI Nootka & Kyuquot",5
1993,"Nootka/Esperanza",500,"WCVI Nootka & Kyuquot",5
1994,"Nootka/Esperanza",300,"WCVI Nootka & Kyuquot",5
1995,"Nootka/Esperanza",415,"WCVI Nootka & Kyuquot",5
1996,"Nootka/Esperanza",680,"WCVI Nootka & Kyuquot",5
1997,"Nootka/Esperanza",687,"WCVI Nootka & Kyuquot",5
1998,"Nootka/Esperanza",519,"WCVI Nootka & Kyuquot",5
1999,"Nootka/Esperanza",1606,"WCVI Nootka & Kyuquot",5
2000,"Nootka/Esperanza",1220,"WCVI Nootka & Kyuquot",5
2001,"Nootka/Esperanza",388,"WCVI Nootka & Kyuquot",5
2002,"Nootka/Esperanza",658,"WCVI Nootka & Kyuquot",5
2003,"Nootka/Esperanza",656,"WCVI Nootka & Kyuquot",5
2004,"Nootka/Esperanza",808,"WCVI Nootka & Kyuquot",5
2005,"Nootka/Esperanza",176,"WCVI Nootka & Kyuquot",5
2006,"Nootka/Esperanza",124,"WCVI Nootka & Kyuquot",5
2007,"Nootka/Esperanza",131,"WCVI Nootka & Kyuquot",5
2008,"Nootka/Esperanza",197,"WCVI Nootka & Kyuquot",5
2009,"Nootka/Esperanza",780,"WCVI Nootka & Kyuquot",5
2010,"Nootka/Esperanza",380,"WCVI Nootka & Kyuquot",5
2011,"Nootka/Esperanza",219,"WCVI Nootka & Kyuquot",5
2012,"Nootka/Esperanza",163,"WCVI Nootka & Kyuquot",5
2013,"Nootka/Esperanza",545,"WCVI Nootka & Kyuquot",5
2014,"Nootka/Esperanza",91,"WCVI Nootka & Kyuquot",5
2015,"Nootka/Esperanza",310,"WCVI Nootka & Kyuquot",5
2016,"Nootka/Esperanza",258,"WCVI Nootka & Kyuquot",5
